Date,Open,High,Low,Close,Volume,Company
2024-05-31,2864.6500,2884.2000,2843.2500,2859.6000,797290,RELIANCE.BSE
2024-05-30,2884.0000,2884.0000,2841.5000,2850.0000,54130,RELIANCE.BSE
2024-05-29,2897.0000,2916.1000,2877.0000,2881.4500,65080,RELIANCE.BSE
2024-05-28,2941.9500,2957.0000,2905.4000,2911.2500,116320,RELIANCE.BSE
2024-05-27,2960.8000,2967.4500,2924.0000,2932.4500,134570,RELIANCE.BSE
2024-05-24,2966.0000,2977.0000,2951.2000,2959.8000,456600,RELIANCE.BSE
2024-05-23,2918.3000,2983.5500,2912.0000,2973.2000,197060,RELIANCE.BSE
2024-05-22,2872.9000,2936.8000,2872.9000,2920.7500,110840,RELIANCE.BSE
2024-05-21,2859.0000,2883.0000,2852.9000,2871.3000,130910,RELIANCE.BSE
2024-05-18,2872.1000,2878.8000,2865.0000,2869.0500,9310,RELIANCE.BSE
2024-05-17,2842.3500,2874.8500,2826.0000,2870.7000,415360,RELIANCE.BSE
2024-05-16,2835.0000,2854.3000,2796.6000,2850.2000,71121,RELIANCE.BSE
2024-05-15,2845.0000,2859.4000,2825.5000,2831.1500,51822,RELIANCE.BSE
2024-05-14,2805.0000,2854.0500,2800.0000,2839.8000,137617,RELIANCE.BSE
2024-05-13,2798.0500,2813.1500,2768.0500,2805.3000,131567,RELIANCE.BSE
2024-05-10,2790.1500,2821.3500,2775.2000,2815.1500,382788,RELIANCE.BSE
2024-05-09,2859.0000,2859.0000,2780.0000,2786.8000,106347,RELIANCE.BSE
2024-05-08,2795.0000,2866.9500,2795.0000,2836.9500,278869,RELIANCE.BSE
2024-05-07,2832.0000,2840.7500,2785.0000,2803.9500,169570,RELIANCE.BSE
2024-05-06,2875.0000,2881.4500,2836.2500,2839.0000,143404,RELIANCE.BSE
2024-05-03,2938.5500,2949.1000,2832.7000,2868.5000,343554,RELIANCE.BSE
2024-05-02,2945.3500,2953.9000,2927.6500,2932.1000,124785,RELIANCE.BSE
2024-04-30,2930.9000,2965.0000,2927.0000,2931.1500,237096,RELIANCE.BSE
2024-04-29,2902.9500,2935.5500,2900.1000,2930.5000,194646,RELIANCE.BSE
2024-04-26,2925.1500,2930.0000,2900.0000,2903.0000,450580,RELIANCE.BSE
2024-04-25,2888.0000,2935.0000,2885.2000,2918.4000,192974,RELIANCE.BSE
2024-04-24,2922.3000,2936.6500,2898.7000,2900.6000,78386,RELIANCE.BSE
2024-04-23,2968.5500,2986.0500,2912.5000,2918.5000,273433,RELIANCE.BSE
2024-04-22,2950.0000,2964.3000,2936.6000,2960.6000,175983,RELIANCE.BSE
2024-04-19,2918.9500,2947.0000,2886.7500,2941.6000,530975,RELIANCE.BSE
2024-04-18,2929.0000,2971.5000,2919.0000,2928.1500,205714,RELIANCE.BSE
2024-04-16,2909.9500,2942.0000,2902.1000,2934.4500,157052,RELIANCE.BSE
2024-04-15,2908.6500,2964.5000,2893.1500,2932.9000,301990,RELIANCE.BSE
2024-04-12,2955.0000,2973.0000,2925.7000,2935.1000,677948,RELIANCE.BSE
2024-04-10,2949.9500,2974.0000,2934.5500,2958.6000,164355,RELIANCE.BSE
2024-04-09,2975.0000,2978.7500,2925.0000,2927.1000,59883,RELIANCE.BSE
2024-04-08,2923.4000,2980.5000,2923.4000,2971.0000,148392,RELIANCE.BSE
2024-04-05,2928.0000,2941.5000,2911.9000,2919.9500,431312,RELIANCE.BSE
2024-04-04,2958.5500,2958.5500,2900.5000,2926.4500,104590,RELIANCE.BSE
2024-04-03,2966.9000,2966.9000,2938.0000,2942.4000,127109,RELIANCE.BSE
2024-04-02,2969.5000,2987.9000,2950.0000,2971.3000,118525,RELIANCE.BSE
2024-04-01,2985.0000,2988.5000,2965.0000,2969.5000,229355,RELIANCE.BSE
2024-03-28,2994.3500,3011.2500,2959.0000,2976.8000,422263,RELIANCE.BSE
2024-03-27,2899.6500,2999.9000,2897.9000,2987.8500,471025,RELIANCE.BSE
2024-03-26,2888.6000,2905.2500,2877.0000,2884.1500,943865,RELIANCE.BSE
